decision_id,candidate_name,candidate_qty_ton,candidate_status,scenario_name,month_idx,begin_inventory_ton,receipt_open_po_ton,receipt_candidate_ton,available_before_demand_ton,demand_ton,shortage_ton,ending_inventory_ton,emergency_buy_ton,open_po_cost,candidate_cost,emergency_buy_cost,total_month_cost
RAW_SUGAR_2026-04,observe,0.0,feasible,base,1,48000.0,0.0,0.0,48000.0,23000.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0
RAW_SUGAR_2026-04,observe,0.0,feasible,base,2,25000.0,5000.0,0.0,30000.0,24000.0,0.0,6000.0,0.0,3290000.0,0.0,0.0,3290000.0
RAW_SUGAR_2026-04,observe,0.0,feasible,base,3,6000.0,2500.0,0.0,8500.0,29000.0,20500.0,0.0,20500.0,1672500.0,0.0,14811660.000000002,16484160.000000002
RAW_SUGAR_2026-04,observe,0.0,feasible,base,4,0.0,0.0,0.0,0.0,28000.0,28000.0,0.0,28000.0,0.0,0.0,20442240.0,20442240.0
RAW_SUGAR_2026-04,observe,0.0,feasible,stress,1,48000.0,0.0,0.0,48000.0,24150.0,0.0,23850.0,0.0,0.0,0.0,0.0,0.0
RAW_SUGAR_2026-04,observe,0.0,feasible,stress,2,23850.0,5000.0,0.0,28850.0,25200.0,0.0,3650.0,0.0,3388700.0,0.0,0.0,3388700.0
RAW_SUGAR_2026-04,observe,0.0,feasible,stress,3,3650.0,2500.0,0.0,6150.0,30450.0,24300.0,0.0,24300.0,1722675.0000000002,0.0,18217908.288000003,19940583.288000003
RAW_SUGAR_2026-04,observe,0.0,feasible,stress,4,0.0,0.0,0.0,0.0,29400.0,29400.0,0.0,29400.0,0.0,0.0,22272047.616,22272047.616
RAW_SUGAR_2026-04,observe,0.0,feasible,shock,1,48000.0,0.0,0.0,48000.0,25760.000000000004,0.0,22239.999999999996,0.0,0.0,0.0,0.0,0.0
RAW_SUGAR_2026-04,observe,0.0,feasible,shock,2,22239.999999999996,0.0,0.0,22239.999999999996,26880.000000000004,4640.000000000007,0.0,4640.000000000007,0.0,0.0,3627106.5600000066,3627106.5600000066
RAW_SUGAR_2026-04,observe,0.0,feasible,shock,3,0.0,5000.0,0.0,5000.0,32480.000000000004,27480.000000000004,0.0,27480.000000000004,3612600.0000000005,0.0,21840334.560000006,25452934.560000006
